"ID #","Title","Account","Interval"
"DEP 0049 270","0049 - KBA-Liste + CN - 2 DVDs","Koenig & Bauer","Monthly"
"DEP 0053 553","0053 - SP","Heidelberger Druckmaschinen","Every other week"
"DEP 0217 380","0217 - SP - Upload","Krones AG","Every other week"
"DEP 0272 222","0272 - HKH - CN 3 monatlich (jeweils Quartalsanfang)","Baader GmbH","Every other week"
"DEP 0303 095","0303 - upload - iso","Arne Krueger","Weekly"
"DEP 0304 021","0304 - upload - zip","Arne Krueger","Weekly"
"DEP 0305 005","0305 - upload - csv","Arne Krueger","Weekly"
